percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,2.063000000000000111e-01,2.044999999999999873e-01
1.000000000000000000e+00,2.043000000000000094e-01,2.031999999999999917e-01
2.000000000000000000e+00,2.053999999999999992e-01,2.028999999999999970e-01
3.000000000000000000e+00,2.053000000000000103e-01,2.033999999999999975e-01
4.000000000000000000e+00,2.046000000000000041e-01,2.033000000000000085e-01
5.000000000000000000e+00,2.056999999999999940e-01,2.030000000000000138e-01
6.000000000000000000e+00,2.056000000000000050e-01,2.003000000000000058e-01
7.000000000000000000e+00,2.048999999999999988e-01,2.010000000000000120e-01
8.000000000000000000e+00,2.049999999999999878e-01,2.015000000000000124e-01
9.000000000000000000e+00,2.041999999999999926e-01,2.026000000000000023e-01
1.000000000000000000e+01,2.033999999999999975e-01,2.021999999999999909e-01
1.100000000000000000e+01,2.030000000000000138e-01,2.018000000000000071e-01
1.200000000000000000e+01,2.030000000000000138e-01,2.018000000000000071e-01
1.300000000000000000e+01,2.013000000000000067e-01,2.013000000000000067e-01
1.400000000000000000e+01,2.020000000000000129e-01,2.016000000000000014e-01
1.500000000000000000e+01,2.015000000000000124e-01,2.006000000000000005e-01
1.600000000000000000e+01,2.023999999999999966e-01,2.003999999999999948e-01
1.700000000000000000e+01,2.023999999999999966e-01,2.005000000000000115e-01
1.800000000000000000e+01,2.031999999999999917e-01,1.998999999999999944e-01
1.900000000000000000e+01,2.013000000000000067e-01,1.985000000000000098e-01
2.000000000000000000e+01,1.988999999999999935e-01,1.963000000000000023e-01
2.100000000000000000e+01,1.981999999999999873e-01,1.963999999999999913e-01
2.200000000000000000e+01,2.000000000000000111e-01,1.953999999999999904e-01
2.300000000000000000e+01,2.005000000000000115e-01,1.963000000000000023e-01
2.400000000000000000e+01,1.995999999999999996e-01,1.960000000000000075e-01
2.500000000000000000e+01,1.988000000000000045e-01,1.930999999999999939e-01
2.600000000000000000e+01,1.978999999999999926e-01,1.937000000000000111e-01
2.700000000000000000e+01,1.947000000000000119e-01,1.927999999999999992e-01
2.800000000000000000e+01,1.963000000000000023e-01,1.932999999999999996e-01
2.900000000000000000e+01,1.963999999999999913e-01,1.915000000000000036e-01
3.000000000000000000e+01,1.950999999999999956e-01,1.915000000000000036e-01
3.100000000000000000e+01,1.925999999999999934e-01,1.892999999999999960e-01
3.200000000000000000e+01,1.932000000000000106e-01,1.915999999999999925e-01
3.300000000000000000e+01,1.925000000000000044e-01,1.917999999999999983e-01
3.400000000000000000e+01,1.937000000000000111e-01,1.907999999999999974e-01
3.500000000000000000e+01,1.940999999999999948e-01,1.917999999999999983e-01
3.600000000000000000e+01,1.918999999999999873e-01,1.900000000000000022e-01
3.700000000000000000e+01,1.927000000000000102e-01,1.922999999999999987e-01
3.800000000000000000e+01,1.932999999999999996e-01,1.927999999999999992e-01
3.900000000000000000e+01,1.910999999999999921e-01,1.912999999999999978e-01
4.000000000000000000e+01,1.917999999999999983e-01,1.900000000000000022e-01
4.100000000000000000e+01,1.910999999999999921e-01,1.902999999999999969e-01
4.200000000000000000e+01,1.910999999999999921e-01,1.907000000000000084e-01
4.300000000000000000e+01,1.908999999999999864e-01,1.910000000000000031e-01
4.400000000000000000e+01,1.897000000000000075e-01,1.892999999999999960e-01
4.500000000000000000e+01,1.897000000000000075e-01,1.892999999999999960e-01
4.600000000000000000e+01,1.884000000000000119e-01,1.905000000000000027e-01
4.700000000000000000e+01,1.877999999999999947e-01,1.892000000000000071e-01
4.800000000000000000e+01,1.852000000000000035e-01,1.862999999999999934e-01
4.900000000000000000e+01,1.831000000000000127e-01,1.854999999999999982e-01
5.000000000000000000e+01,1.809999999999999942e-01,1.822000000000000008e-01
5.100000000000000000e+01,1.812000000000000000e-01,1.806000000000000105e-01
5.200000000000000000e+01,1.802999999999999881e-01,1.771999999999999964e-01
5.300000000000000000e+01,1.811000000000000110e-01,1.779999999999999916e-01
5.400000000000000000e+01,1.809999999999999942e-01,1.779999999999999916e-01
5.500000000000000000e+01,1.789999999999999925e-01,1.753000000000000114e-01
