percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,5.854000000000000314e-01,5.854000000000000314e-01
1.000000000000000000e+00,5.850999999999999535e-01,5.850999999999999535e-01
2.000000000000000000e+00,5.856999999999999984e-01,5.856999999999999984e-01
3.000000000000000000e+00,5.856999999999999984e-01,5.856999999999999984e-01
4.000000000000000000e+00,5.857999999999999874e-01,5.857999999999999874e-01
5.000000000000000000e+00,5.859999999999999654e-01,5.859999999999999654e-01
6.000000000000000000e+00,5.868999999999999773e-01,5.868999999999999773e-01
7.000000000000000000e+00,5.862000000000000544e-01,5.862000000000000544e-01
8.000000000000000000e+00,5.859999999999999654e-01,5.859999999999999654e-01
9.000000000000000000e+00,5.857999999999999874e-01,5.857999999999999874e-01
1.000000000000000000e+01,5.866000000000000103e-01,5.866000000000000103e-01
1.100000000000000000e+01,5.869999999999999662e-01,5.869999999999999662e-01
1.200000000000000000e+01,5.873000000000000442e-01,5.873000000000000442e-01
1.300000000000000000e+01,5.869999999999999662e-01,5.869999999999999662e-01
1.400000000000000000e+01,5.865000000000000213e-01,5.865000000000000213e-01
1.500000000000000000e+01,5.873000000000000442e-01,5.873000000000000442e-01
1.600000000000000000e+01,5.863000000000000433e-01,5.863000000000000433e-01
1.700000000000000000e+01,5.862000000000000544e-01,5.862000000000000544e-01
1.800000000000000000e+01,5.859999999999999654e-01,5.859999999999999654e-01
1.900000000000000000e+01,5.867999999999999883e-01,5.867999999999999883e-01
2.000000000000000000e+01,5.880999999999999561e-01,5.880999999999999561e-01
2.100000000000000000e+01,5.867999999999999883e-01,5.867999999999999883e-01
2.200000000000000000e+01,5.877000000000000002e-01,5.877000000000000002e-01
2.300000000000000000e+01,5.891999999999999460e-01,5.891999999999999460e-01
2.400000000000000000e+01,5.890999999999999570e-01,5.890999999999999570e-01
2.500000000000000000e+01,5.897000000000000020e-01,5.897000000000000020e-01
2.600000000000000000e+01,5.876000000000000112e-01,5.876000000000000112e-01
2.700000000000000000e+01,5.863000000000000433e-01,5.863000000000000433e-01
2.800000000000000000e+01,5.856999999999999984e-01,5.856999999999999984e-01
2.900000000000000000e+01,5.837999999999999856e-01,5.837999999999999856e-01
3.000000000000000000e+01,5.807999999999999829e-01,5.807999999999999829e-01
3.100000000000000000e+01,5.807999999999999829e-01,5.807999999999999829e-01
3.200000000000000000e+01,5.818999999999999728e-01,5.818999999999999728e-01
3.300000000000000000e+01,5.802000000000000490e-01,5.802000000000000490e-01
3.400000000000000000e+01,5.796000000000000041e-01,5.796000000000000041e-01
3.500000000000000000e+01,5.778999999999999693e-01,5.778999999999999693e-01
3.600000000000000000e+01,5.774000000000000243e-01,5.774000000000000243e-01
3.700000000000000000e+01,5.786000000000000032e-01,5.786000000000000032e-01
3.800000000000000000e+01,5.774000000000000243e-01,5.774000000000000243e-01
3.900000000000000000e+01,5.777999999999999803e-01,5.777999999999999803e-01
4.000000000000000000e+01,5.758999999999999675e-01,5.758999999999999675e-01
4.100000000000000000e+01,5.758999999999999675e-01,5.758999999999999675e-01
4.200000000000000000e+01,5.756999999999999895e-01,5.756999999999999895e-01
4.300000000000000000e+01,5.793000000000000371e-01,5.793000000000000371e-01
4.400000000000000000e+01,5.786999999999999922e-01,5.786999999999999922e-01
4.500000000000000000e+01,5.795000000000000151e-01,5.795000000000000151e-01
4.600000000000000000e+01,5.757999999999999785e-01,5.757999999999999785e-01
4.700000000000000000e+01,5.778999999999999693e-01,5.778999999999999693e-01
4.800000000000000000e+01,5.784000000000000252e-01,5.784000000000000252e-01
4.900000000000000000e+01,5.795000000000000151e-01,5.795000000000000151e-01
5.000000000000000000e+01,5.808999999999999719e-01,5.808999999999999719e-01
5.100000000000000000e+01,5.787999999999999812e-01,5.787999999999999812e-01
