percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,7.117999999999999883e-01,7.117999999999999883e-01
1.000000000000000000e+00,7.116999999999999993e-01,7.118999999999999773e-01
2.000000000000000000e+00,7.119999999999999662e-01,7.118999999999999773e-01
3.000000000000000000e+00,7.120999999999999552e-01,7.116000000000000103e-01
4.000000000000000000e+00,7.120999999999999552e-01,7.116000000000000103e-01
5.000000000000000000e+00,7.119999999999999662e-01,7.116999999999999993e-01
6.000000000000000000e+00,7.117999999999999883e-01,7.118999999999999773e-01
7.000000000000000000e+00,7.117999999999999883e-01,7.117999999999999883e-01
8.000000000000000000e+00,7.117999999999999883e-01,7.117999999999999883e-01
9.000000000000000000e+00,7.117999999999999883e-01,7.118999999999999773e-01
1.000000000000000000e+01,7.117999999999999883e-01,7.117999999999999883e-01
1.100000000000000000e+01,7.116999999999999993e-01,7.117999999999999883e-01
1.200000000000000000e+01,7.117999999999999883e-01,7.117999999999999883e-01
1.300000000000000000e+01,7.117999999999999883e-01,7.115000000000000213e-01
1.400000000000000000e+01,7.118999999999999773e-01,7.116000000000000103e-01
1.500000000000000000e+01,7.117999999999999883e-01,7.116999999999999993e-01
1.600000000000000000e+01,7.116999999999999993e-01,7.116999999999999993e-01
1.700000000000000000e+01,7.117999999999999883e-01,7.118999999999999773e-01
1.800000000000000000e+01,7.117999999999999883e-01,7.118999999999999773e-01
1.900000000000000000e+01,7.117999999999999883e-01,7.116999999999999993e-01
2.000000000000000000e+01,7.116999999999999993e-01,7.117999999999999883e-01
2.100000000000000000e+01,7.116000000000000103e-01,7.117999999999999883e-01
2.200000000000000000e+01,7.118999999999999773e-01,7.116000000000000103e-01
2.300000000000000000e+01,7.116999999999999993e-01,7.115000000000000213e-01
2.400000000000000000e+01,7.116999999999999993e-01,7.114000000000000323e-01
2.500000000000000000e+01,7.116000000000000103e-01,7.116999999999999993e-01
2.600000000000000000e+01,7.116999999999999993e-01,7.116999999999999993e-01
2.700000000000000000e+01,7.116000000000000103e-01,7.116000000000000103e-01
2.800000000000000000e+01,7.119999999999999662e-01,7.117999999999999883e-01
2.900000000000000000e+01,7.122000000000000552e-01,7.119999999999999662e-01
3.000000000000000000e+01,7.122000000000000552e-01,7.122000000000000552e-01
3.100000000000000000e+01,7.119999999999999662e-01,7.119999999999999662e-01
3.200000000000000000e+01,7.119999999999999662e-01,7.119999999999999662e-01
