percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,9.576999999999999957e-01,9.576999999999999957e-01
1.000000000000000000e+00,9.575000000000000178e-01,9.575000000000000178e-01
2.000000000000000000e+00,9.574000000000000288e-01,9.574000000000000288e-01
3.000000000000000000e+00,9.574000000000000288e-01,9.574000000000000288e-01
4.000000000000000000e+00,9.573000000000000398e-01,9.573000000000000398e-01
5.000000000000000000e+00,9.574000000000000288e-01,9.574000000000000288e-01
6.000000000000000000e+00,9.576999999999999957e-01,9.576999999999999957e-01
7.000000000000000000e+00,9.582000000000000517e-01,9.582000000000000517e-01
8.000000000000000000e+00,9.582000000000000517e-01,9.582000000000000517e-01
9.000000000000000000e+00,9.584000000000000297e-01,9.584000000000000297e-01
1.000000000000000000e+01,9.579999999999999627e-01,9.579999999999999627e-01
1.100000000000000000e+01,9.580999999999999517e-01,9.580999999999999517e-01
1.200000000000000000e+01,9.575000000000000178e-01,9.575000000000000178e-01
1.300000000000000000e+01,9.575000000000000178e-01,9.575000000000000178e-01
1.400000000000000000e+01,9.579999999999999627e-01,9.579999999999999627e-01
1.500000000000000000e+01,9.578999999999999737e-01,9.578999999999999737e-01
1.600000000000000000e+01,9.577999999999999847e-01,9.577999999999999847e-01
1.700000000000000000e+01,9.573000000000000398e-01,9.573000000000000398e-01
1.800000000000000000e+01,9.576999999999999957e-01,9.576999999999999957e-01
1.900000000000000000e+01,9.570999999999999508e-01,9.570999999999999508e-01
2.000000000000000000e+01,9.575000000000000178e-01,9.575000000000000178e-01
2.100000000000000000e+01,9.577999999999999847e-01,9.577999999999999847e-01
2.200000000000000000e+01,9.579999999999999627e-01,9.579999999999999627e-01
2.300000000000000000e+01,9.582000000000000517e-01,9.582000000000000517e-01
2.400000000000000000e+01,9.577999999999999847e-01,9.577999999999999847e-01
2.500000000000000000e+01,9.590999999999999526e-01,9.590999999999999526e-01
2.600000000000000000e+01,9.588999999999999746e-01,9.588999999999999746e-01
2.700000000000000000e+01,9.586999999999999966e-01,9.586999999999999966e-01
2.800000000000000000e+01,9.586999999999999966e-01,9.586999999999999966e-01
2.900000000000000000e+01,9.588999999999999746e-01,9.588999999999999746e-01
3.000000000000000000e+01,9.586000000000000076e-01,9.586000000000000076e-01
3.100000000000000000e+01,9.586999999999999966e-01,9.586999999999999966e-01
3.200000000000000000e+01,9.568999999999999728e-01,9.568999999999999728e-01
3.300000000000000000e+01,9.564000000000000279e-01,9.564000000000000279e-01
3.400000000000000000e+01,9.566999999999999948e-01,9.566999999999999948e-01
3.500000000000000000e+01,9.572000000000000508e-01,9.572000000000000508e-01
3.600000000000000000e+01,9.568999999999999728e-01,9.568999999999999728e-01
3.700000000000000000e+01,9.554000000000000270e-01,9.554000000000000270e-01
3.800000000000000000e+01,9.552000000000000490e-01,9.552000000000000490e-01
3.900000000000000000e+01,9.548999999999999710e-01,9.548999999999999710e-01
4.000000000000000000e+01,9.547999999999999821e-01,9.547999999999999821e-01
4.100000000000000000e+01,9.553000000000000380e-01,9.553000000000000380e-01
4.200000000000000000e+01,9.545000000000000151e-01,9.545000000000000151e-01
