percent_removed,acc_removed_only,acc_shifted_removed
0.000000000000000000e+00,3.286999999999999922e-01,3.286000000000000032e-01
1.000000000000000000e+00,3.290000000000000147e-01,3.287999999999999812e-01
2.000000000000000000e+00,3.291999999999999926e-01,3.286999999999999922e-01
3.000000000000000000e+00,3.291999999999999926e-01,3.286000000000000032e-01
4.000000000000000000e+00,3.291999999999999926e-01,3.286999999999999922e-01
5.000000000000000000e+00,3.295000000000000151e-01,3.289000000000000257e-01
6.000000000000000000e+00,3.294000000000000261e-01,3.291000000000000036e-01
7.000000000000000000e+00,3.296000000000000041e-01,3.287999999999999812e-01
8.000000000000000000e+00,3.291000000000000036e-01,3.289000000000000257e-01
9.000000000000000000e+00,3.291000000000000036e-01,3.287999999999999812e-01
1.000000000000000000e+01,3.292999999999999816e-01,3.285000000000000142e-01
1.100000000000000000e+01,3.289000000000000257e-01,3.281999999999999917e-01
1.200000000000000000e+01,3.291000000000000036e-01,3.281000000000000028e-01
1.300000000000000000e+01,3.291000000000000036e-01,3.281999999999999917e-01
1.400000000000000000e+01,3.291999999999999926e-01,3.281999999999999917e-01
1.500000000000000000e+01,3.291000000000000036e-01,3.289000000000000257e-01
1.600000000000000000e+01,3.291999999999999926e-01,3.287999999999999812e-01
1.700000000000000000e+01,3.291999999999999926e-01,3.287999999999999812e-01
1.800000000000000000e+01,3.290000000000000147e-01,3.287999999999999812e-01
1.900000000000000000e+01,3.291999999999999926e-01,3.286999999999999922e-01
2.000000000000000000e+01,3.290000000000000147e-01,3.286000000000000032e-01
2.100000000000000000e+01,3.291999999999999926e-01,3.286000000000000032e-01
2.200000000000000000e+01,3.290000000000000147e-01,3.289000000000000257e-01
2.300000000000000000e+01,3.296000000000000041e-01,3.294000000000000261e-01
2.400000000000000000e+01,3.299000000000000266e-01,3.290000000000000147e-01
2.500000000000000000e+01,3.294000000000000261e-01,3.291000000000000036e-01
2.600000000000000000e+01,3.297999999999999821e-01,3.291999999999999926e-01
2.700000000000000000e+01,3.296000000000000041e-01,3.289000000000000257e-01
2.800000000000000000e+01,3.294000000000000261e-01,3.296000000000000041e-01
2.900000000000000000e+01,3.287999999999999812e-01,3.292999999999999816e-01
3.000000000000000000e+01,3.291999999999999926e-01,3.291000000000000036e-01
3.100000000000000000e+01,3.292999999999999816e-01,3.295000000000000151e-01
3.200000000000000000e+01,3.287999999999999812e-01,3.292999999999999816e-01
3.300000000000000000e+01,3.286999999999999922e-01,3.290000000000000147e-01
3.400000000000000000e+01,3.287999999999999812e-01,3.291000000000000036e-01
3.500000000000000000e+01,3.287999999999999812e-01,3.286999999999999922e-01
3.600000000000000000e+01,3.286000000000000032e-01,3.289000000000000257e-01
3.700000000000000000e+01,3.285000000000000142e-01,3.286000000000000032e-01
3.800000000000000000e+01,3.285000000000000142e-01,3.285000000000000142e-01
3.900000000000000000e+01,3.287999999999999812e-01,3.285000000000000142e-01
4.000000000000000000e+01,3.286999999999999922e-01,3.284000000000000252e-01
4.100000000000000000e+01,3.285000000000000142e-01,3.286000000000000032e-01
4.200000000000000000e+01,3.284000000000000252e-01,3.281000000000000028e-01
4.300000000000000000e+01,3.286000000000000032e-01,3.282999999999999807e-01
4.400000000000000000e+01,3.281999999999999917e-01,3.284000000000000252e-01
4.500000000000000000e+01,3.285000000000000142e-01,3.282999999999999807e-01
4.600000000000000000e+01,3.280000000000000138e-01,3.279000000000000248e-01
4.700000000000000000e+01,3.282999999999999807e-01,3.282999999999999807e-01
4.800000000000000000e+01,3.281999999999999917e-01,3.286000000000000032e-01
4.900000000000000000e+01,3.280000000000000138e-01,3.282999999999999807e-01
5.000000000000000000e+01,3.275000000000000133e-01,3.284000000000000252e-01
5.100000000000000000e+01,3.277999999999999803e-01,3.285000000000000142e-01
5.200000000000000000e+01,3.281999999999999917e-01,3.284000000000000252e-01
5.300000000000000000e+01,3.281000000000000028e-01,3.279000000000000248e-01
5.400000000000000000e+01,3.276999999999999913e-01,3.275000000000000133e-01
5.500000000000000000e+01,3.272999999999999798e-01,3.277999999999999803e-01
5.600000000000000000e+01,3.275000000000000133e-01,3.276000000000000023e-01
5.700000000000000000e+01,3.271999999999999909e-01,3.276999999999999913e-01
5.800000000000000000e+01,3.276000000000000023e-01,3.274000000000000243e-01
5.900000000000000000e+01,3.279000000000000248e-01,3.275000000000000133e-01
6.000000000000000000e+01,3.272999999999999798e-01,3.276999999999999913e-01
6.100000000000000000e+01,3.275000000000000133e-01,3.280000000000000138e-01
6.200000000000000000e+01,3.280000000000000138e-01,3.280000000000000138e-01
6.300000000000000000e+01,3.279000000000000248e-01,3.281000000000000028e-01
6.400000000000000000e+01,3.281999999999999917e-01,3.289000000000000257e-01
6.500000000000000000e+01,3.280000000000000138e-01,3.284000000000000252e-01
6.600000000000000000e+01,3.277999999999999803e-01,3.281999999999999917e-01
6.700000000000000000e+01,3.276999999999999913e-01,3.286999999999999922e-01
6.800000000000000000e+01,3.271000000000000019e-01,3.286000000000000032e-01
6.900000000000000000e+01,3.275000000000000133e-01,3.284000000000000252e-01
7.000000000000000000e+01,3.280000000000000138e-01,3.282999999999999807e-01
7.100000000000000000e+01,3.286999999999999922e-01,3.290000000000000147e-01
7.200000000000000000e+01,3.286000000000000032e-01,3.292999999999999816e-01
7.300000000000000000e+01,3.286000000000000032e-01,3.295000000000000151e-01
7.400000000000000000e+01,3.290000000000000147e-01,3.297999999999999821e-01
7.500000000000000000e+01,3.281999999999999917e-01,3.289000000000000257e-01
7.600000000000000000e+01,3.281000000000000028e-01,3.286999999999999922e-01
7.700000000000000000e+01,3.292999999999999816e-01,3.302999999999999825e-01
7.800000000000000000e+01,3.305000000000000160e-01,3.316000000000000059e-01
7.900000000000000000e+01,3.313999999999999724e-01,3.317999999999999838e-01
8.000000000000000000e+01,3.310000000000000164e-01,3.311000000000000054e-01
8.100000000000000000e+01,3.312999999999999834e-01,3.312999999999999834e-01
8.200000000000000000e+01,3.300000000000000155e-01,3.301999999999999935e-01
8.300000000000000000e+01,3.310000000000000164e-01,3.306999999999999940e-01
8.400000000000000000e+01,3.310000000000000164e-01,3.310000000000000164e-01
8.500000000000000000e+01,3.316999999999999948e-01,3.325000000000000178e-01
8.600000000000000000e+01,3.323999999999999733e-01,3.326999999999999957e-01
8.700000000000000000e+01,3.351999999999999980e-01,3.361999999999999988e-01
8.800000000000000000e+01,3.368999999999999773e-01,3.382000000000000006e-01
8.900000000000000000e+01,3.392000000000000015e-01,3.396000000000000130e-01
9.000000000000000000e+01,3.412999999999999923e-01,3.416000000000000147e-01
9.100000000000000000e+01,3.442000000000000060e-01,3.454999999999999738e-01
9.200000000000000000e+01,3.501000000000000223e-01,3.508000000000000007e-01
9.300000000000000000e+01,3.573000000000000065e-01,3.582000000000000184e-01
9.400000000000000000e+01,3.660999999999999810e-01,3.660999999999999810e-01
9.500000000000000000e+01,3.744000000000000106e-01,3.739000000000000101e-01
9.600000000000000000e+01,3.274000000000000243e-01,3.267999999999999794e-01
9.700000000000000000e+01,2.877000000000000113e-01,2.873999999999999888e-01
9.800000000000000000e+01,2.534000000000000141e-01,2.535000000000000031e-01
9.900000000000000000e+01,1.759000000000000008e-01,1.759999999999999898e-01
1.000000000000000000e+02,9.819999999999999563e-02,9.819999999999999563e-02
